"deptID","LH_no","class_name","floor_no","building_name","video_link"
"D006","LH 4","S8 EE","2nd floor","KE BLOCK",NULL
"D006","LH 5","S6 EE","2nd floor","KE BLOCK",NULL
"D006","LH 6","S4 EE","2nd floor","KE BLOCK",NULL
"D002","LH 5","S4 CS(BETA)","1st floor","MAIN BUILDING",NULL
"D002","LH 4","S4 CS(ALPHA)","1st floor","MAIN BUILDING",NULL
"D002","LH 6","S4 CS(GAMMA)","1st floor","MAIN BUILDING",NULL
"D002","LH 2","S8 CS(BETA)","1st floor","MAIN BUILDING",NULL
"D002","LH 1","S8 CS(ALPHA)","1st floor","MAIN BUILDING",NULL
"D002","LH 3","S8 CS(GAMMA)","1st floor","MAIN BUILDING",NULL
"D002","LH 7","S6 CS(ALPHA)","1st floor","MAIN BUILDING",NULL
"D002","LH 8","S6 CS(BETA)","1st floor","MAIN BUILDING",NULL
"D002","LH 9","S6 CS(GAMMA)","1st floor","MAIN BUILDING",NULL
"D001","LH 25","S2 CSBS","3rd floor","MAIN BUILDING",NULL
"D004","LH 26","S2 MECH(ALPHA)","3rd floor","MAIN BUILDING",NULL
"D001","LH 27","S2 AD","3rd floor","MAIN BUILDING",NULL
"D003","LH 24","S2 CIVIL","3rd floor","MAIN BUILDING",NULL
"D006","LH 23","S2 EE","3rd floor","MAIN BUILDING",NULL
"D005","LH 22","S2 APPLIED","3rd floor","MAIN BUILDING",NULL
"D007","LH 35","S2 EC(GAMMA)","3rd floor","MAIN BUILDING",NULL
"D007","LH 34","S2 EC(BETA)","3rd floor","MAIN BUILDING",NULL
"D007","LH 33","S2 EC(ALPHA)","3rd floor","MAIN BUILDING",NULL
"D002","LH 32","S2 CS(GAMMA)","3rd floor","MAIN BUILDING",NULL
"D002","LH 31","S2 CS(BETA)","3rd floor","MAIN BUILDING",NULL
"D002","LH 30","S2 CS(ALPHA)","3rd floor","MAIN BUILDING",NULL
"D004","LH 29","S2 MECH(BETA)","3rd floor","MAIN BUILDING",NULL
"D001","LH 28","S2 IT","3rd floor","MAIN BUILDING",NULL
"D001","LH 15","S8 IT","4th floor","KE BLOCK",NULL
"D003","LH 16","S8 CIVIL","4th floor","KE BLOCK",NULL
"D003","LH 17","S6 CIVIL","4th floor","KE BLOCK",NULL
"D003","LH 18","S4 CIVIL","4th floor","KE BLOCK",NULL
"D001","LH 13","S4 IT","4th floor","KE BLOCK",NULL
"D001","LH 14","S6 IT","4th floor","KE BLOCK",NULL
"D004","LH 7","S8 MECH(ALPHA)","3rd floor","KE BLOCK",NULL
"D004","LH 8","S8 MECH(BETA)","3rd floor","KE BLOCK",NULL
"D004","LH 9","S6 MECH(ALPHA)","3rd floor","KE BLOCK",NULL
"D004","LH 10","S6 MECH(BETA)","3rd floor","KE BLOCK",NULL
"D004","LH 11","S4 MECH(BETA)","3rd floor","KE BLOCK",NULL
"D004","LH 12","S4 MECH(ALPHA)","3rd floor","KE BLOCK",NULL
"D001","LH 3","S6 AD","2nd floor","KE BLOCK",NULL
"D001","LH 2","S4 AD","2nd floor","KE BLOCK",NULL
"D007","LH 16","S6 EC(ALPHA)","2nd floor","MAIN BUILDING",NULL
"D007","LH 18","S6 EC(GAMMA)","2nd floor","MAIN BUILDING",NULL
"D007","LH 15","S8 EC(ALPHA)","2nd floor","MAIN BUILDING",NULL
"D007","LH 14","S8 EC(BETA)","2nd floor","MAIN BUILDING",NULL
"D007","LH 13","S8 EC(GAMMA)","2nd floor","MAIN BUILDING",NULL
"D005","LH 12","S8 APPLIED","2nd floor","MAIN BUILDING",NULL
"D005","LH 11","S6 APPLIED","2nd floor","MAIN BUILDING",NULL
"D005","LH 10","S4 APPLIED","2nd floor","MAIN BUILDING",NULL
"D007","LH 21","S4 EC(GAMMA)","2nd floor","MAIN BUILDING",NULL
"D007","LH 20","S4 EC(BETA)","2nd floor","MAIN BUILDING",NULL
"D007","LH 19","S4 EC(ALPHA)","2nd floor","MAIN BUILDING",NULL
"D001","LH 1","S4 CSBS","2nd floor","KE BLOCK",NULL
NULL,NULL,NULL,NULL,NULL,"animation/S6 AD.mp4"
NULL,NULL,NULL,NULL,NULL,"'animation/S6 AD.mp4'"
NULL,NULL,NULL,NULL,NULL,"animation/S6 AD.mp4"
